,beta,Run,Population
0,0.1,0,"[3, 6, 15, 4, 8, 3, 10, 9, 5, 4, 7, 2, 5, 12, 13, 14, 41, 7, 13, 11, 8, 10, 6, 6, 8, 8, 2, 15, 6, 42, 1, 12, 10, 3, 6, 10, 4, 13, 5, 16, 6, 8, 11, 20, 6, 12, 2, 21, 9, 5, 9, 48, 33, 3, 12, 6, 1, 20, 20, 8, 4, 5, 15, 2, 8, 21, 32, 10, 2, 9, 5, 14, 4, 0, 8, 22, 7, 9, 8, 9, 3, 14, 5, 12, 40, 3, 14, 3, 12, 15, 28, 19, 14, 3, 3, 8, 10, 10, 6, 6, 4, 3, 7, 4, 8, 11, 14, 3, 12, 38, 8, 4, 21, 22, 8, 7, 10, 10, 6, 15, 17, 2, 8, 11, 8, 7, 7, 21, 8, 28, 22, 19, 20, 10, 6, 12, 6, 7, 16, 1, 11, 10, 3, 9, 10, 5, 23, 17, 32, 1, 6, 5, 18, 8, 22, 5, 6, 3, 4, 7, 8, 5, 4, 7, 6, 11, 6, 1, 11, 17, 4, 9, 2, 9, 18, 13, 10, 13, 28, 16, 16, 4, 25, 2, 13, 18, 13, 16, 12, 18, 61, 14, 4, 10, 4, 4, 14, 7, 3, 15, 5, 8, 4, 14, 9, 15, 4, 13, 7, 7, 10, 2, 15, 1, 12, 17, 4, 6, 15, 4, 18, 8, 11, 1, 7, 19, 7, 13, 16, 6, 7, 10, 17, 21, 13, 15, 5, 2, 7, 3, 20, 11, 17, 5, 4, 9, 33, 10, 6, 5, 13, 13, 3, 27, 2, 2, 6, 4, 4, 2, 3, 8, 7, 28, 23, 12, 6, 5, 1, 18, 10, 8, 10, 5, 4, 4, 36, 14, 7, 9, 5, 17, 20, 20, 4, 9, 7, 11, 7, 6, 13, 4, 5, 20, 2, 7, 17, 3, 3, 10, 13, 9, 4, 9, 8, 16, 25, 17, 4, 10, 24, 4, 21, 9, 4, 15, 27, 4, 11, 33, 6, 8, 8, 11, 22, 6, 12, 4, 1, 25, 1, 8, 7, 12, 6, 18, 2, 10, 4, 37, 4, 8, 20, 3, 4, 16, 3, 9, 7, 6, 4, 5, 6, 1, 15, 5, 14, 3, 15, 21, 5, 1, 23, 4, 5, 2, 14, 3, 4, 6, 9, 10, 9, 16, 12, 10, 4, 7, 25, 35, 13, 22, 7, 12, 13, 30, 4, 37, 9, 3, 2, 7, 11, 10, 1, 14, 3, 13, 4, 15, 18, 4, 11, 4, 3, 8, 10, 60, 13, 9, 4, 9, 26, 4, 7, 14, 7, 8, 9, 7, 5, 2, 1, 13, 27, 26, 29, 50, 15, 5, 4, 10, 14, 57, 14, 43, 13, 6, 3, 4, 4, 8, 35, 39, 31, 5, 19, 3, 11, 19, 4, 3, 8, 21, 11, 4, 6, 31, 9, 46, 17, 27, 3, 10, 6, 3, 5, 0, 18, 13, 6, 6, 8, 3, 10, 65, 20, 31, 2, 11, 5, 6, 5, 13, 14, 9, 9, 4, 4, 15, 8, 10, 9, 24, 33, 14, 19, 7, 12, 6, 9, 5, 20, 23, 17, 8, 11, 3, 4, 11, 7, 10, 2, 5, 5, 7, 5, 9, 10, 1, 15, 5, 6, 7, 18, 11, 10, 15, 9, 2, 7, 21, 3, 15, 3, 7, 17, 5, 10, 7, 32, 7, 19, 5, 35, 9, 10, 16, 5, 12, 12, 5, 11, 19, 8, 7, 4, 13, 5, 6, 9, 13, 3, 49, 5, 9, 42, 6, 15, 5, 2, 3, 14, 7, 53, 10, 21, 10, 13, 5, 30, 2, 26, 5, 2, 4, 4, 5, 8, 4, 2, 4, 25, 1, 3, 8, 5, 9, 18, 9, 5, 4, 5, 0, 11, 8, 1, 3, 8, 20, 8, 6, 36, 9, 5, 10, 5, 2, 14, 13, 7, 5, 5, 8, 7, 25, 20, 22, 12, 10, 34, 19, 13, 32, 32, 8, 2, 6, 3, 16, 11, 4, 14, 5, 9, 8, 38, 2, 4, 5, 13, 13, 4, 15, 6, 9, 1, 11, 8, 18, 3, 13, 16, 8, 5, 27, 15, 9, 4, 18, 11, 12, 9, 13, 6, 7, 2, 8, 33, 11, 7, 22, 5, 13, 13, 18, 7, 10, 8, 15, 3, 11, 3, 6, 6, 6, 4, 17, 2, 13, 3, 6, 4, 29, 16, 8, 5, 8, 23, 4, 9, 6, 15, 23, 13, 9, 4, 22, 3, 4, 27, 6, 10, 16, 19, 7, 4, 4, 11, 28, 11, 6, 8, 10, 1, 39, 6, 3, 3, 6, 2, 4, 27, 15, 5]"
1,0.1,1,"[13, 16, 12, 2, 29, 40, 8, 27, 7, 0, 9, 16, 12, 2, 21, 7, 13, 5, 2, 10, 8, 13, 7, 21, 5, 8, 11, 19, 9, 11, 4, 2, 5, 15, 8, 4, 5, 10, 7, 27, 11, 6, 1, 6, 2, 7, 15, 12, 2, 31, 11, 12, 10, 8, 10, 21, 12, 8, 27, 20, 3, 2, 11, 4, 6, 13, 5, 8, 0, 3, 17, 16, 30, 3, 9, 5, 12, 4, 3, 2, 12, 7, 3, 5, 5, 6, 13, 8, 7, 4, 7, 24, 1, 8, 4, 1, 2, 27, 5, 10, 8, 8, 16, 8, 8, 13, 30, 18, 15, 11, 11, 17, 30, 28, 5, 2, 11, 12, 9, 39, 14, 16, 26, 7, 10, 9, 3, 3, 22, 13, 3, 14, 9, 3, 19, 8, 19, 9, 14, 1, 7, 11, 5, 9, 11, 2, 23, 7, 7, 7, 3, 15, 7, 18, 8, 12, 2, 8, 30, 17, 8, 6, 12, 11, 12, 17, 32, 2, 1, 9, 6, 23, 7, 11, 4, 18, 2, 6, 17, 10, 21, 4, 3, 7, 1, 3, 33, 16, 22, 20, 9, 1, 4, 4, 23, 6, 14, 9, 18, 5, 10, 1, 7, 3, 2, 12, 25, 6, 15, 1, 4, 4, 10, 2, 5, 11, 5, 2, 9, 2, 17, 4, 18, 11, 8, 11, 25, 20, 3, 7, 8, 6, 6, 31, 0, 15, 24, 4, 9, 19, 30, 10, 4, 19, 9, 5, 4, 3, 2, 3, 2, 19, 30, 18, 8, 8, 5, 10, 15, 9, 23, 24, 2, 8, 28, 6, 15, 6, 12, 24, 5, 17, 24, 3, 13, 6, 3, 2, 11, 1, 12, 5, 2, 3, 6, 2, 11, 14, 6, 3, 8, 10, 10, 26, 9, 2, 14, 7, 6, 26, 5, 4, 11, 11, 9, 12, 3, 16, 8, 4, 1, 24, 17, 40, 8, 3, 20, 7, 33, 2, 16, 15, 13, 12, 4, 18, 3, 10, 15, 19, 2, 14, 6, 5, 24, 8, 8, 5, 4, 13, 14, 23, 14, 10, 5, 8, 35, 8, 26, 16, 10, 21, 24, 3, 11, 5, 7, 12, 6, 13, 11, 7, 2, 20, 5, 7, 17, 7, 1, 14, 4, 19, 18, 14, 8, 9, 11, 10, 21, 11, 35, 11, 12, 6, 11, 5, 10, 6, 3, 7, 3, 7, 17, 4, 11, 25, 12, 2, 29, 7, 23, 5, 19, 4, 7, 3, 6, 4, 19, 2, 3, 11, 13, 8, 10, 31, 43, 8, 26, 13, 4, 3, 20, 7, 16, 4, 1, 12, 20, 37, 15, 1, 14, 25, 5, 9, 8, 2, 15, 22, 5, 31, 9, 19, 22, 2, 14, 18, 41, 1, 12, 19, 6, 5, 15, 3, 45, 9, 2, 5, 4, 13, 11, 15, 3, 15, 1, 18, 6, 16, 18, 28, 2, 7, 7, 36, 7, 4, 16, 8, 10, 9, 6, 12, 12, 12, 8, 2, 7, 18, 28, 7, 5, 4, 10, 17, 8, 8, 3, 8, 21, 5, 1, 18, 12, 18, 4, 8, 6, 7, 13, 21, 14, 30, 9, 4, 4, 6, 1, 9, 8, 3, 15, 23, 8, 14, 9, 2, 15, 1, 7, 6, 11, 17, 13, 2, 6, 11, 16, 11, 19, 6, 17, 5, 10, 27, 4, 5, 3, 4, 5, 7, 3, 5, 6, 20, 23, 14, 22, 6, 4, 32, 4, 15, 16, 11, 2, 24, 4, 18, 7, 0, 13, 6, 20, 13, 1, 23, 6, 12, 12, 10, 3, 14, 37, 7, 11, 5, 75, 9, 13, 14, 13, 11, 6, 4, 8, 43, 11, 7, 5, 11, 3, 5, 18, 5, 45, 16, 34, 2, 5, 32, 5, 3, 5, 8, 5, 5, 18, 12, 3, 5, 5, 3, 5, 30, 15, 9, 8, 5, 10, 18, 20, 16, 8, 7, 5, 2, 8, 24, 22, 26, 15, 31, 9, 8, 14, 4, 1, 40, 2, 4, 4, 7, 30, 15, 1, 3, 4, 10, 6, 7, 3, 44, 3, 3, 15, 10, 2, 3, 20, 3, 4, 10, 15, 6, 8, 22, 6, 9, 1, 10, 6, 11, 10, 21, 4, 8, 11, 8, 15, 20, 1, 15, 27, 3, 27, 10, 8, 1, 4, 4, 4, 25, 12, 7, 3, 14, 3, 3, 24, 3, 8, 25, 4, 5, 14, 5, 47, 12, 1, 4, 12, 8, 0, 5, 11, 6, 13, 21, 3, 27, 5, 6, 6, 1, 14, 8, 31, 14, 3, 6, 18, 27, 5]"
2,0.1,2,"[8, 3, 2, 2, 7, 11, 7, 0, 13, 10, 8, 3, 4, 2, 15, 11, 2, 7, 15, 21, 2, 11, 12, 21, 6, 4, 7, 12, 29, 3, 7, 14, 20, 6, 8, 10, 18, 21, 12, 10, 7, 1, 5, 4, 5, 7, 11, 12, 20, 25, 11, 4, 6, 47, 20, 15, 39, 4, 9, 6, 4, 6, 16, 30, 18, 4, 39, 31, 25, 2, 3, 38, 9, 5, 7, 9, 13, 11, 6, 10, 8, 11, 8, 11, 6, 9, 7, 11, 20, 23, 8, 3, 23, 1, 9, 8, 13, 11, 9, 14, 11, 4, 10, 5, 7, 19, 8, 21, 2, 8, 3, 7, 6, 4, 12, 3, 13, 5, 10, 26, 3, 23, 3, 7, 30, 4, 6, 3, 5, 4, 19, 6, 17, 4, 5, 22, 9, 19, 6, 5, 24, 6, 4, 25, 4, 4, 24, 22, 12, 13, 3, 11, 7, 11, 9, 5, 6, 27, 11, 17, 36, 3, 28, 3, 4, 8, 6, 6, 12, 5, 7, 9, 8, 2, 6, 15, 13, 9, 22, 10, 7, 4, 12, 5, 9, 4, 17, 29, 32, 17, 5, 11, 4, 8, 4, 13, 4, 11, 8, 4, 5, 2, 20, 2, 13, 1, 9, 8, 8, 8, 37, 21, 12, 9, 6, 10, 8, 6, 1, 6, 15, 6, 10, 25, 14, 5, 5, 10, 17, 25, 26, 16, 14, 12, 8, 5, 2, 8, 2, 7, 24, 3, 15, 2, 16, 4, 26, 4, 21, 5, 11, 20, 7, 12, 6, 2, 38, 9, 9, 14, 2, 7, 6, 9, 18, 6, 4, 7, 23, 3, 7, 7, 15, 2, 3, 11, 21, 12, 6, 7, 0, 31, 15, 11, 8, 7, 4, 18, 6, 4, 12, 6, 19, 4, 9, 9, 6, 18, 8, 31, 5, 15, 8, 15, 17, 4, 6, 9, 8, 8, 4, 10, 4, 16, 15, 11, 16, 14, 24, 14, 11, 10, 10, 12, 16, 19, 8, 19, 1, 3, 1, 11, 6, 14, 2, 4, 5, 5, 8, 10, 8, 15, 21, 2, 6, 17, 7, 2, 15, 14, 8, 23, 12, 9, 21, 15, 4, 16, 20, 5, 16, 12, 11, 21, 6, 15, 19, 21, 8, 8, 3, 11, 5, 5, 6, 3, 3, 5, 20, 35, 5, 9, 7, 7, 12, 6, 15, 46, 6, 2, 10, 10, 14, 5, 12, 47, 42, 5, 5, 4, 4, 1, 2, 4, 7, 4, 7, 2, 3, 14, 6, 20, 4, 6, 4, 4, 12, 5, 4, 4, 4, 5, 11, 18, 18, 14, 25, 15, 3, 2, 8, 26, 5, 17, 6, 12, 12, 25, 12, 2, 24, 4, 3, 4, 16, 5, 11, 9, 39, 17, 2, 21, 8, 1, 4, 5, 10, 3, 6, 27, 36, 29, 11, 10, 6, 13, 6, 5, 7, 9, 34, 6, 4, 8, 1, 19, 5, 5, 67, 5, 3, 2, 13, 5, 5, 17, 8, 15, 4, 8, 17, 11, 16, 3, 10, 9, 11, 2, 10, 4, 12, 18, 7, 5, 7, 10, 8, 11, 12, 17, 7, 4, 17, 8, 2, 9, 4, 11, 7, 9, 3, 46, 1, 23, 9, 4, 16, 11, 3, 5, 19, 2, 3, 4, 18, 11, 35, 18, 4, 1, 20, 26, 21, 5, 3, 4, 4, 1, 33, 2, 12, 19, 32, 3, 2, 22, 3, 15, 11, 5, 7, 19, 9, 10, 32, 5, 10, 8, 0, 56, 21, 7, 5, 30, 10, 43, 3, 4, 8, 26, 8, 2, 40, 14, 3, 7, 49, 5, 12, 12, 4, 29, 49, 2, 4, 51, 1, 8, 4, 5, 18, 2, 14, 13, 3, 6, 31, 3, 4, 3, 34, 7, 2, 3, 4, 17, 4, 7, 27, 2, 4, 1, 5, 4, 8, 11, 14, 11, 10, 4, 6, 19, 3, 28, 4, 8, 2, 25, 1, 23, 5, 10, 27, 25, 22, 24, 2, 41, 17, 11, 5, 8, 0, 19, 5, 3, 2, 8, 10, 24, 14, 17, 4, 9, 5, 17, 11, 8, 4, 9, 2, 19, 32, 28, 18, 2, 5, 6, 4, 3, 25, 5, 10, 20, 11, 4, 16, 4, 37, 9, 8, 3, 12, 3, 7, 14, 19, 3, 8, 17, 26, 42, 8, 15, 9, 5, 5, 13, 7, 3, 9, 8, 3, 2, 16, 4, 9, 20, 12, 11, 0, 26, 12, 4, 2, 4, 7, 12, 7, 7, 14, 6, 2, 39, 7, 3, 2, 51, 8, 13, 12, 10, 12, 4, 3]"
3,0.1,3,"[13, 1, 17, 5, 3, 8, 5, 14, 15, 12, 3, 9, 19, 13, 4, 6, 6, 36, 16, 13, 5, 20, 44, 11, 28, 8, 3, 14, 8, 6, 4, 10, 3, 5, 4, 7, 16, 23, 7, 10, 2, 14, 2, 11, 5, 15, 5, 12, 20, 1, 29, 9, 4, 32, 30, 6, 4, 9, 21, 20, 16, 5, 4, 18, 4, 7, 12, 7, 11, 43, 3, 4, 6, 2, 9, 8, 4, 12, 18, 6, 5, 5, 17, 18, 36, 8, 15, 6, 13, 11, 18, 6, 0, 1, 10, 17, 2, 10, 32, 9, 5, 7, 4, 8, 14, 5, 7, 13, 3, 20, 4, 5, 21, 1, 12, 6, 34, 9, 4, 6, 2, 12, 6, 8, 14, 11, 2, 25, 11, 28, 2, 5, 2, 3, 13, 5, 3, 4, 4, 23, 19, 4, 8, 3, 12, 6, 5, 22, 6, 5, 25, 12, 4, 7, 29, 14, 14, 14, 11, 45, 7, 2, 6, 10, 5, 7, 18, 7, 15, 0, 19, 8, 16, 12, 9, 10, 2, 15, 14, 31, 13, 5, 9, 5, 26, 3, 3, 32, 18, 4, 8, 9, 6, 32, 8, 6, 32, 12, 3, 7, 20, 1, 7, 9, 4, 7, 4, 13, 8, 10, 19, 19, 2, 7, 2, 14, 28, 17, 5, 19, 16, 8, 5, 18, 14, 9, 9, 18, 12, 3, 12, 2, 11, 50, 4, 16, 32, 2, 9, 7, 8, 8, 2, 28, 8, 5, 21, 9, 5, 5, 18, 19, 13, 3, 7, 5, 11, 3, 22, 17, 13, 3, 10, 6, 9, 14, 8, 0, 17, 7, 15, 15, 25, 8, 4, 4, 4, 16, 9, 1, 3, 8, 15, 6, 14, 13, 2, 9, 13, 14, 6, 10, 12, 4, 11, 2, 15, 26, 13, 6, 6, 7, 14, 2, 14, 4, 3, 14, 28, 4, 28, 4, 1, 17, 18, 10, 22, 6, 14, 4, 14, 9, 7, 5, 3, 8, 19, 5, 6, 6, 6, 9, 11, 11, 31, 17, 30, 5, 5, 2, 3, 14, 5, 2, 19, 2, 12, 18, 5, 2, 9, 4, 20, 8, 9, 13, 18, 15, 4, 7, 2, 26, 50, 24, 4, 8, 11, 19, 1, 13, 0, 10, 7, 4, 17, 8, 3, 10, 20, 31, 16, 11, 9, 13, 10, 3, 10, 10, 25, 3, 9, 5, 11, 3, 6, 21, 25, 10, 25, 5, 5, 9, 10, 6, 1, 0, 2, 7, 15, 12, 5, 5, 10, 13, 9, 5, 24, 4, 14, 5, 5, 33, 17, 3, 10, 3, 12, 8, 15, 22, 23, 25, 32, 4, 3, 9, 1, 33, 7, 2, 27, 23, 11, 8, 3, 22, 7, 9, 3, 22, 4, 33, 4, 1, 9, 9, 6, 12, 2, 8, 8, 24, 4, 12, 4, 7, 3, 13, 11, 11, 6, 1, 4, 4, 8, 6, 6, 7, 2, 7, 8, 4, 3, 14, 3, 9, 11, 7, 14, 2, 11, 12, 18, 13, 4, 13, 5, 3, 4, 53, 2, 8, 7, 18, 11, 6, 9, 3, 5, 1, 13, 19, 10, 10, 7, 9, 5, 8, 2, 12, 18, 13, 12, 4, 5, 8, 3, 9, 17, 2, 2, 17, 6, 6, 8, 6, 6, 6, 24, 3, 3, 23, 3, 16, 4, 13, 5, 36, 7, 24, 1, 12, 8, 25, 12, 1, 21, 8, 15, 8, 24, 16, 3, 11, 2, 11, 18, 5, 21, 12, 7, 52, 23, 6, 6, 10, 18, 4, 2, 7, 29, 16, 34, 44, 19, 4, 9, 10, 2, 3, 3, 2, 17, 3, 8, 18, 0, 7, 11, 9, 18, 3, 8, 13, 5, 23, 62, 21, 6, 2, 7, 18, 10, 50, 3, 5, 3, 5, 15, 25, 33, 16, 4, 18, 10, 9, 11, 17, 4, 37, 14, 9, 19, 5, 8, 9, 6, 9, 15, 11, 12, 4, 8, 5, 6, 7, 11, 13, 8, 12, 4, 7, 6, 14, 7, 9, 5, 12, 13, 7, 12, 8, 2, 8, 23, 25, 6, 21, 27, 4, 10, 9, 15, 11, 3, 8, 10, 6, 10, 5, 2, 7, 27, 11, 9, 10, 18, 21, 18, 7, 2, 8, 7, 6, 5, 2, 51, 12, 17, 7, 6, 5, 3, 5, 19, 4, 4, 7, 4, 41, 13, 3, 4, 15, 5, 25, 2, 17, 6, 20, 8, 13, 10, 7, 3, 13, 12, 12, 15, 23, 43, 16, 15, 22, 9, 3, 29, 22, 4, 10, 14, 18, 7, 5, 14]"
